Number of elements,SS,SC,SR,IS,IC,IR,QS,QC,QR
10000,00:00:03.452,00:00:02.362,00:00:05.112,00:00:00.002,00:00:00.000,00:00:04.797,00:00:00.019,N/A,00:00:00.047
20000,00:00:14.076,00:00:13.579,00:00:17.950,00:00:00.003,00:00:00.016,00:00:19.345,00:00:00.037,N/A,00:00:00.062
30000,00:00:29.493,00:00:27.926,00:00:52.873,00:00:00.004,00:00:00.016,00:00:49.423,00:00:00.141,N/A,00:00:00.062
40000,00:00:52.000,00:00:50.166,00:01:32.031,00:00:00.016,00:00:00.016,00:01:19.754,00:00:00.203,N/A,00:00:00.156
50000,00:01:19.303,00:01:17.576,00:02:26.171,00:00:00.000,00:00:00,00:02:18.208,00:00:00.172,N/A,00:00:00.187
60000,00:01:54.990,00:01:54.026,00:03:32.308,00:00:00.000,00:00:00.031,00:03:12.975,00:00:00.172,N/A,00:00:00.218
70000,00:02:37.272,00:02:31.243,00:04:42.910,00:00:00.000,00:00:00.016,00:04:45.428,00:00:00.187,N/A,00:00:00.250
80000,00:03:33.142,00:03:22.892,00:06:50.282,00:00:00.016,00:00:00.031,00:06:14.025,00:00:00.250,N/A,00:00:00.281
90000,00:04:33.403,00:04:55.749,00:10:26.597,00:00:00.016,00:00:00.031,00:07:21.483,00:00:00.297,N/A,00:00:00.297
100000,00:05:49.278,00:05:19.587,00:13:02.231,00:00:00.017,00:00:00.031,00:09:59.855,00:00:00.469,N/A,00:00:00.297
500000,02:31:20.592,02:29:49.415,05:40:13.201,00:00:00.109,00:00:00.109,04:28:24.000,00:00:01.797,N/A,00:00:02.016
1000000,09:35:55.000,09:34:27.653,15:32:06.859,00:00:00.187,00:00:00.281,17:47:26.593,00:00:03.511,N/A,00:00:04.671
10000000,N/A,N/A,N/A,00:00:01.898,00:00:02.391,N/A,00:00:49.019,N/A,00:01:03.038
100000000,N/A,N/A,N/A,00:00:18.575,00:00:23.815,N/A,00:08:39.807,N/A,00:17:42.563
1000000000,N/A,N/A,N/A,00:04:59.586,00:03:35.931,N/A,01:08:20.997,N/A,Not enough mem
